Player,ano,GPosBJ,cp1,altura,peso,Broad Jump
Alonzo Jackson,2003,g8,-10.3065688209369,193.04,120.655472,289.56
Matt Farmer,2000,g7,25.5989984219764,182.88,86.18248,274.32
J.R. Tavai,2015,g8,-1.59830420520181,187.96,112.944408,284.48
Jordan Jones,2019,g7,5.00492365602788,187.96,106.140528,312.42
Beanie Wells,2009,g8,5.17701165178327,185.42,106.59412,325.12
Shawn Oakman,2016,g8,-22.0003005726746,203.2,130.180904,312.42
James Jones,2007,g7,17.5030369927454,185.42,93.893544,302.26
Dennis Weathersby,2003,g7,18.8236825649913,185.42,92.532768,317.5
Paul Hogan,2001,g9,-20.2594302124004,190.5,131.54168,259.08
Cedrick Williams,2005,g7,36.5083389914547,177.8,76.203456,307.34
Paul Soliai,2007,g9,-44.6433536993313,193.04,156.035648,261.62
Quinten Rollins,2015,g7,24.0102256547372,180.34,88.45044,309.88
Jordan Thomas,2018,g7,27.359859184971,182.88,84.368112,314.96
Jesse Luketa,2022,g7,-3.97146815470044,190.5,114.758776,289.56
Tarell Brown,2007,g7,26.2113016084805,180.34,86.18248,281.94
Kenny King,2003,g8,-16.2974934956625,190.5,127.459352,289.56
Matt Paradis,2014,g9,-27.3028732643787,190.5,138.799152,261.62
Durham Smythe,2018,g8,-5.19607452770852,195.58,114.758776,279.4
Tony Terrell,2003,g9,-39.6288986053408,190.5,151.499728,238.76
Santonio Beard,2003,g8,11.5121123180197,182.88,100.697424,302.26
Taylor Mays,2010,g7,6.15348123251843,190.5,104.32616,317.5
Nathan Williams,2013,g8,1.31111413428333,190.5,109.315672,287.02
Randall Cobb,2011,g7,26.3833896042359,177.8,86.636072,292.1
Dan Santucci,2007,g9,-25.1017973106355,190.5,136.531192,259.08
Anthony Trucks,2006,g8,6.05744203328057,185.42,105.686936,317.5
Kavell Conner,2010,g8,2.7078085030468,182.88,109.769264,279.4
Dahrran Diedrick,2003,g8,8.87082117352785,182.88,103.418976,297.18
Donatella Luckett,2015,g7,16.3544794162549,182.88,95.707912,299.72
Larry Grant,2008,g8,5.17701165178327,185.42,106.59412,287.02
Kenny Golladay,2017,g7,10.8237603349982,193.04,98.883056,304.8
Charles Gaines,2015,g7,31.225756702471,177.8,81.64656,312.42
Matthew Butler,2022,g9,-23.9532397341449,193.04,134.716824,284.48
Derrick Baity,2019,g7,21.2928857137278,187.96,89.357624,322.58
Devon Torrence,2011,g7,21.6370617052386,182.88,90.264808,281.94
Nick Barnett,2003,g8,4.12449327453059,187.96,107.047712,312.42
Ryan Kelly,2016,g9,-30.116252404626,193.04,141.067112,261.62
Rakeem Nunez-Roches,2015,g9,-27.1307852686233,187.96,139.252744,289.56
Roger Lewis,2016,g7,20.7566313237413,182.88,91.171992,294.64
J.J. Taylor,2020,g8,32.0861966812479,165.1,83.91452,299.72
Jonathan Massaquoi,2012,g8,-8.20153206643152,187.96,119.748288,304.8
Mario Butler,2011,g7,29.1207199479656,182.88,82.553744,304.8
Brandon Kaufman,2013,g7,11.0918875299914,195.58,97.975872,292.1
DeMeco Ryans,2006,g8,4.73679646103463,185.42,107.047712,327.66
Shane Olivea,2004,g9,-25.5420125013841,190.5,136.984784,233.68
Barry Church,2010,g7,10.8998091315157,185.42,100.697424,307.34
Chase Winovich,2019,g8,-5.29211372694638,190.5,116.119552,294.64
Dontario Drummond,2022,g7,13.9813154667562,185.42,97.52228,309.88
Mike Jenkins,2008,g7,23.742098459744,177.8,89.357624,297.18
Sam Maxwell,2010,g8,-0.27765863295587,187.96,111.583632,274.32
Aaron Schobel,2001,g8,-8.98592324869095,193.04,119.294696,302.26
Justice Hill,2019,g8,23.3018832689953,177.8,89.811216,330.2
Christian Wilkins,2019,g8,-31.2648099811166,190.5,142.88148,271.78
Leonard Peters,2007,g7,16.1823914204995,185.42,95.25432,279.4
Matt Stankiewitch,2013,g9,-25.5420125013841,190.5,136.984784,233.68
Tim Cornett,2014,g8,17.2349097977521,182.88,94.800728,317.5
Dominique Barber,2008,g7,16.7946946070035,182.88,95.25432,297.18
Travis Feeney,2016,g8,5.54117804601439,193.04,104.32616,330.2
Devonte Fields,2017,g8,4.12449327453059,187.96,107.047712,314.96
Mike Martin,2012,g9,-26.0782668913706,185.42,138.799152,287.02
Zack Martin,2014,g9,-28.79560683238,193.04,139.706336,269.24
Dustin Waldron,2012,g9,-28.0872644466382,195.58,138.34556,261.62
Jalen Parmele,2008,g8,11.2439851230265,180.34,101.604608,317.5
Noah Spence,2016,g8,-2.47873458669911,187.96,113.851592,307.34
