Player,ano,GPosBench,cp1,altura,peso,Bench
Andre Roberts,2010,g6,24.0102256547372,180.34,88.45044,15
Lavon Coleman,2018,g6,15.2059218397643,180.34,97.52228,23
Jahvid Best,2010,g6,22.8616680782467,177.8,90.264808,18
Roy Schuening,2008,g4,-27.9151764508828,193.04,138.799152,26
Chad Upshaw,2007,g5,-4.14355615045583,193.04,114.305184,16
Ryan Hannam,2002,g5,-2.47873458669911,187.96,113.851592,18
Ramon Foster,2009,g4,-38.212213833857,195.58,148.778176,20
Jordan Morgan,2017,g4,-28.6235188366247,190.5,140.159928,21
Ras-I Dowling,2011,g6,21.4649737094832,185.42,89.811216,19
Jon Stinchcomb,2003,g4,-26.7666188743922,195.58,136.984784,32
Deatrich Wise Jr.,2017,g5,-14.4405935334301,195.58,124.284208,22
Paul Perkins,2016,g6,18.8997313615089,177.8,94.347136,19
Corvey Irvin,2009,g4,-25.1017973106355,190.5,136.531192,24
John Stamper,2002,g5,-9.86635363018824,193.04,120.20188,24
Nila Kasitati,2016,g4,-32.1452403626138,190.5,143.788664,12
Josh Metellus,2020,g6,17.8472129842562,180.34,94.800728,20
Doug Zeigler,2003,g5,-6.34463210419907,193.04,116.573144,20
