Player,Pos,School,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,ano,altura,peso,GPos40,GPosBench,GPosBJ,GPos3CONE,cp1
Carlos Nuno,TE,BYU,5.03,71.12,23,269.24,,,2000,193.04,119.294696,g2,g5,g8,g11,-8.98592324869095
Matt O'Neal,C,Oklahoma,5.06,69.85,17,238.76,7.59,4.72,2000,190.5,125.644984,g1,g4,g9,g10,-14.536632732668
Andre O'Neal,ILB,Marshall,4.72,86.36,16,289.56,7.3,4.24,2000,185.42,106.59412,g2,g5,g8,g11,5.17701165178327
Deltha O'Neal,CB,California,4.6,,,,,,2000,180.34,87.543256,g3,g6,g7,g12,24.8906560362345
Adewale Ogunleye,DE,Indiana,,,,,,,2000,193.04,114.758776,g2,g5,g8,g11,-4.58377134120448
Erik Olson,S,Colorado State,4.63,88.9,17,292.1,6.81,4.21,2000,185.42,94.347136,g3,g6,g7,g12,17.0628218019967
Cory Peterson,WR,Mississippi,4.75,82.55,,289.56,,,2000,187.96,88.45044,g3,g6,g7,g12,22.1733160952251
Julian Peterson,OLB,Michigan State,4.68,,,,,,2000,195.58,104.779752,g2,g5,g8,g11,4.4886596687617
Mareno Philyaw,WR,Troy,4.66,100.33,,327.66,6.93,4.13,2000,187.96,92.98636,g3,g6,g7,g12,17.7711641877386
Todd Pinkston,WR,Southern Miss,4.45,,,,,,2000,187.96,76.657048,g3,g6,g7,g12,33.6189110546899
